epoch,container,mem_bytes,mem_perc,cpu_perc,restarts
1787797455,event_collector,72655831,13.53,52.82,0
1787797455,scoring_engine,54725181,10.19,6.73,0
1787797455,config_service,43505418,8.10,0.21,0
1787797455,siem_api,51013222,9.50,4.41,0
1787797522,event_collector,140614041,26.19,50.01,0
1787797522,scoring_engine,56350474,10.50,0.71,0
1787797522,config_service,44103106,8.21,0.17,0
1787797522,siem_api,52009369,9.69,1.03,0
1787797589,event_collector,147639500,27.50,53.60,0
1787797589,scoring_engine,59034828,11.00,9.19,0
1787797589,config_service,44103106,8.21,0.21,0
1787797589,siem_api,54316236,10.12,5.03,0
1787797656,event_collector,154979532,28.87,66.54,0
1787797656,scoring_engine,58741227,10.94,9.73,0
1787797656,config_service,44166021,8.23,0.20,0
1787797656,siem_api,56098816,10.45,4.28,0
1787797723,event_collector,155503820,28.97,27.08,0
1787797723,scoring_engine,58877542,10.97,3.50,0
1787797723,config_service,44166021,8.23,0.22,0
1787797723,siem_api,54830039,10.21,1.20,0
1787797785,event_collector,150156083,27.96,53.07,0
1787797785,scoring_engine,57367592,10.68,9.55,0
1787797785,config_service,43505418,8.10,0.15,0
1787797785,siem_api,53991178,10.06,3.87,0
1787797848,event_collector,150156083,27.96,51.60,0
1787797848,scoring_engine,57283706,10.67,10.93,0
1787797848,config_service,43505418,8.10,0.22,0
1787797848,siem_api,54997811,10.24,4.49,0
1787797913,event_collector,148897792,27.73,57.00,0
1787797913,scoring_engine,56927191,10.60,10.97,0
1787797913,config_service,43473960,8.10,0.15,0
1787797913,siem_api,54106521,10.08,2.81,0
1787797977,event_collector,148688076,27.70,51.75,0
1787797977,scoring_engine,57199820,10.66,8.70,0
1787797977,config_service,43473960,8.10,0.25,0
1787797977,siem_api,54379151,10.13,3.72,0
1787798042,event_collector,139460608,25.98,58.33,0
1787798042,scoring_engine,55931043,10.42,11.59,0
1787798042,config_service,35745955,6.66,0.16,0
1787798042,siem_api,45350912,8.45,3.46,0
1787798110,event_collector,139880038,26.06,47.62,0
1787798110,scoring_engine,56801361,10.58,8.53,0
1787798110,config_service,35651584,6.64,0.15,0
1787798110,siem_api,46672117,8.69,3.54,0
1787798176,event_collector,139775180,26.03,49.59,0
1787798176,scoring_engine,57053020,10.63,11.43,0
1787798176,config_service,35662069,6.64,0.14,0
1787798176,siem_api,45665484,8.51,4.29,0
1787798243,event_collector,140509184,26.17,43.94,0
1787798243,scoring_engine,57273221,10.67,7.41,0
1787798243,config_service,35641098,6.64,0.09,0
1787798243,siem_api,47584378,8.86,2.64,0
1787798310,event_collector,140928614,26.24,48.27,0
1787798310,scoring_engine,56371445,10.50,9.99,0
1787798310,config_service,35683041,6.65,0.26,0
1787798310,siem_api,49094328,9.14,3.97,0
1787798376,event_collector,141452902,26.36,41.47,0
1787798376,scoring_engine,56738447,10.57,8.05,0
1787798376,config_service,35410411,6.59,0.17,0
1787798376,siem_api,46766489,8.71,2.21,0
1787798443,event_collector,141662617,26.38,60.49,0
1787798443,scoring_engine,56623104,10.55,12.42,0
1787798443,config_service,35410411,6.59,0.17,0
1787798443,siem_api,47259320,8.80,7.20,0
1787798511,event_collector,139041177,25.90,46.22,0
1787798511,scoring_engine,54882467,10.22,5.32,0
1787798511,config_service,31027363,5.78,0.15,0
1787798511,siem_api,42855301,7.98,1.74,0
1787798579,event_collector,139460608,25.97,63.25,0
1787798579,scoring_engine,54662266,10.18,12.47,0
1787798579,config_service,30303846,5.64,0.31,0
1787798579,siem_api,42184212,7.86,5.07,0
1787798646,event_collector,113455923,21.13,61.39,0
1787798646,scoring_engine,41324380,7.70,6.57,0
1787798646,config_service,18350080,3.42,0.24,0
1787798646,siem_api,29454499,5.49,1.65,0
1787798714,event_collector,135371161,25.22,23.09,0
1787798714,scoring_engine,46430945,8.65,0.24,0
1787798714,config_service,18444451,3.43,0.17,0
1787798714,siem_api,29601300,5.51,2.86,0
1787798779,event_collector,135895449,25.31,50.97,0
1787798779,scoring_engine,47238348,8.80,8.41,0
1787798779,config_service,18192793,3.39,0.16,0
1787798779,siem_api,30178017,5.62,5.47,0
1787798846,event_collector,136105164,25.35,24.67,0
1787798846,scoring_engine,47490007,8.85,0.66,0
1787798846,config_service,18266193,3.40,0.23,0
1787798846,siem_api,30691819,5.72,1.39,0
1787798913,event_collector,136734310,25.46,56.26,0
1787798913,scoring_engine,47290777,8.81,7.98,0
1787798913,config_service,18255708,3.40,0.23,0
1787798913,siem_api,29947330,5.58,4.10,0
1787798980,event_collector,136629452,25.45,56.02,0
1787798980,scoring_engine,47573893,8.86,8.18,0
1787798980,config_service,18255708,3.40,0.15,0
1787798980,siem_api,29926359,5.57,2.24,0
1787799043,event_collector,137678028,25.65,64.17,0
1787799043,scoring_engine,47490007,8.85,9.95,0
1787799043,config_service,18255708,3.40,0.14,0
1787799043,siem_api,30219960,5.63,2.21,0
1787799110,event_collector,136105164,25.35,13.82,0
1787799110,scoring_engine,46514831,8.66,3.73,0
1787799110,config_service,17343447,3.23,0.14,0
1787799110,siem_api,28112322,5.24,0.67,0
1787799181,event_collector,136524595,25.43,57.79,0
1787799181,scoring_engine,47133491,8.78,10.25,0
1787799181,config_service,17343447,3.23,0.23,0
1787799181,siem_api,29695672,5.53,2.12,0
1787799248,event_collector,136944025,25.51,22.30,0
1787799248,scoring_engine,47469035,8.84,4.28,0
1787799248,config_service,16819159,3.13,0.11,0
1787799248,siem_api,28049408,5.22,1.18,0
1787799315,event_collector,136839168,25.48,56.63,0
1787799315,scoring_engine,48800727,9.09,10.83,0
1787799315,config_service,16819159,3.13,0.18,0
1787799315,siem_api,28028436,5.22,3.85,0
1787799382,event_collector,137782886,25.66,44.73,0
1787799382,scoring_engine,48171581,8.97,6.84,0
1787799382,config_service,16808673,3.13,0.23,0
1787799382,siem_api,28028436,5.22,4.29,0
1787799449,event_collector,137258598,25.56,56.26,0
1787799449,scoring_engine,47867494,8.92,8.89,0
1787799449,config_service,16808673,3.13,0.20,0
1787799449,siem_api,28290580,5.27,2.63,0
1787799517,event_collector,137363456,25.59,56.79,0
1787799517,scoring_engine,47720693,8.89,12.63,0
1787799517,config_service,16263413,3.03,0.19,0
1787799517,siem_api,27514634,5.13,1.51,0
1787799584,event_collector,138097459,25.72,42.24,0
1787799584,scoring_engine,48161095,8.97,6.24,0
1787799584,config_service,16252928,3.03,0.24,0
1787799584,siem_api,28164751,5.25,4.25,0
1787799651,event_collector,137782886,25.66,35.21,0
1787799651,scoring_engine,47668264,8.88,4.68,0
1787799651,config_service,16064184,2.99,0.24,0
1787799651,siem_api,27074232,5.04,2.29,0
1787799718,event_collector,137782886,25.67,41.96,0
1787799718,scoring_engine,48591011,9.05,7.36,0
1787799718,config_service,15602810,2.91,0.10,0
1787799718,siem_api,26151485,4.87,2.23,0
1787799782,event_collector,138412032,25.78,56.82,0
1787799782,scoring_engine,47762636,8.90,10.04,0
1787799782,config_service,15602810,2.91,0.24,0
1787799782,siem_api,27147632,5.06,2.51,0
1787799848,event_collector,135476019,25.24,42.89,0
1787799848,scoring_engine,48108666,8.96,6.30,0
1787799848,config_service,14396948,2.68,0.11,0
1787799848,siem_api,25690112,4.79,2.47,0
1787799915,event_collector,136839168,25.48,58.41,0
1787799915,scoring_engine,47731179,8.89,8.53,0
1787799915,config_service,14396948,2.68,0.20,0
1787799915,siem_api,26445086,4.93,4.92,0
1787799982,event_collector,136419737,25.40,36.12,0
1787799982,scoring_engine,47280291,8.81,5.48,0
1787799982,config_service,14396948,2.68,0.11,0
1787799982,siem_api,26623344,4.96,2.58,0
